idp,provincia,poblacion
6,Buenos Aires,17709598
62,Río Negro,757052
82,Santa Fe,3563390
50,Mendoza,2010363
30,Entre Ríos,1398510
54,Misiones,1274992
58,Neuquén,672461
90,Tucumán,1714487
42,La Pampa,361394
2,CABA,3078836
66,Salta,1441988
26,Chubut,629181
14,Córdoba,3798261
78,Santa Cruz,374756
86,Santiago del Estero,988245
46,La Rioja,398648
38,Jujuy,779212
18,Corrientes,1130320
34,Formosa,610019
10,Catamarca,418991
22,Chaco,1216247
74,San Luis,514610
70,San Juan,789489
94,Tierra del Fuego,177697
